first_down_penalty,penalty,penalty_team,penalty_player_id,penalty_player_name,penalty_yards,penalty_type,wpa
0.0,0.0,,,,,,0.0005358131602406
0.0,0.0,,,,,,0.0023246277123689
0.0,0.0,,,,,,0.0036043152213096
0.0,0.0,,,,,,0.0026418026536703
0.0,0.0,,,,,,0.0
0.0,0.0,,,,,,-0.0047831274569034
0.0,0.0,,,,,,-0.0036094076931476
0.0,0.0,,,,,,0.0
0.0,0.0,,,,,,-0.0026972712948918
0.0,0.0,,,,,,-0.0094904033467173
0.0,0.0,,,,,,-0.0005452036857604
0.0,0.0,,,,,,0.0014159679412841
0.0,0.0,,,,,,0.0008009076118469
0.0,0.0,,,,,,-0.0005992650985717
0.0,0.0,,,,,,0.0005572438240051
0.0,0.0,,,,,,3.17692756652832e-05
0.0,0.0,,,,,,0.0001035928726196
0.0,0.0,,,,,,6.6220760345459e-05
0.0,0.0,,,,,,-0.0008184313774108
0.0,0.0,,,,,,0.0
0.0,1.0,BUF,00-0033555,M.Hollins,15.0,Taunting,0.0003451108932495
0.0,0.0,,,,,,0.0
0.0,1.0,BUF,,,5.0,Illegal Shift,-0.0005087852478027
0.0,0.0,,,,,,-0.0003162622451782
0.0,0.0,,,,,,0.0004863739013671
0.0,0.0,,,,,,0.0
0.0,0.0,,,,,,-0.0003195405006408
0.0,0.0,,,,,,0.0
0.0,0.0,,,,,,0.0010413038544356
0.0,0.0,,,,,,-4.84642514493316e-05
0.0,0.0,,,,,,-6.81707751937211e-06
0.0,0.0,,,,,,-4.06556064262986e-05
0.0,0.0,,,,,,-0.0001635165826883
0.0,0.0,,,,,,-6.95534108672291e-05
0.0,0.0,,,,,,-6.33001327514648e-05
0.0,0.0,,,,,,0.0001099705696105
0.0,0.0,,,,,,
0.0,0.0,,,,,,
0.0,0.0,,,,,,
0.0,0.0,,,,,,-0.0805058777332306
0.0,0.0,,,,,,0.0752109289169312
0.0,0.0,,,,,,-0.0104643702507019
0.0,0.0,,,,,,0.04176579996507
0.0,0.0,,,,,,0.0015750022276179
0.0,1.0,GB,00-0037306,J.FitzPatrick,10.0,Offensive Holding,-0.0122980922460556
0.0,0.0,,,,,,-0.010094478726387
0.0,0.0,,,,,,-0.011930838227272
0.0,0.0,,,,,,-0.0205329209566116
0.0,0.0,,,,,,0.0545308291912079
0.0,0.0,,,,,,-0.0034398436546325
0.0,0.0,,,,,,0.0563298463821411
0.0,0.0,,,,,,-0.0050421357154846
0.0,0.0,,,,,,0.0021575689315795
0.0,0.0,,,,,,-0.0277499556541443
0.0,0.0,,,,,,-0.012379989027977
0.0,0.0,,,,,,-0.0108867585659027
0.0,0.0,,,,,,0.0107082575559616
0.0,0.0,,,,,,0.028329074382782
0.0,0.0,,,,,,-0.0055836737155914
0.0,0.0,,,,,,-0.0038131177425384
0.0,0.0,,,,,,-0.065900132060051
0.0,0.0,,,,,,0.0057900995016098
0.0,0.0,,,,,,0.0239848494529724
0.0,0.0,,,,,,0.0161049962043762
0.0,0.0,,,,,,-0.0055186748504638
0.0,0.0,,,,,,-0.0059621930122375
0.0,0.0,,,,,,0.0244078636169434
0.0,0.0,,,,,,-0.0076977014541626
0.0,0.0,,,,,,0.0121259093284607
0.0,0.0,,,,,,-0.0061639547348022
0.0,0.0,,,,,,-0.0147668123245239
0.0,0.0,,,,,,-0.0199458599090576
0.0,0.0,,,,,,-0.0109690725803375
0.0,0.0,,,,,,0.0002098530530929
0.0,0.0,,,,,,-0.0081423819065094
0.0,0.0,,,,,,-0.0073729008436203
0.0,0.0,,,,,,-0.003611147403717
